TenureGroup,无投诉用户数,有投诉用户数,无投诉流失率,有投诉流失率
0-5年,1341,626,0.23862788963460105,0.5894568690095847
10-15年,646,246,0.030959752321981424,0.13821138211382114
15-20年,433,194,0.05542725173210162,0.12371134020618557
20年以上,545,208,0.007339449541284404,0.028846153846153848
5-10年,1061,330,0.06786050895381715,0.22727272727272727
