TenureGroup,用户数,流失人数,流失率,平均订单数,平均返现,平均距上次下单天数
0-5年,1967,689,0.35027961362480936,2.4743263853584136,158.78820538891713,3.7092018301982717
10-15年,892,54,0.06053811659192825,3.4663677130044843,187.1097869955157,5.168161434977579
15-20年,627,48,0.07655502392344497,3.7113237639553427,203.42740031897927,5.4035087719298245
20年以上,753,10,0.013280212483399735,3.605577689243028,223.3380478087649,5.140770252324037
5-10年,1391,147,0.10567936736161035,2.6412652767792957,160.17598849748381,4.271028037383178
